ticker,name,sector,price,market_cap,current_assets,total_liabilities,ncav,ncav_per_share,ocf,ocf_positive,ncav_ratio,is_netnet,margin_pct,ocf_3y_all_positive,ocf_3y_count_positive,ocf_3y_values,has_dividend,has_buyback,revenue_declining,value_trap_flag
1436.T,GreenEnergy & Company Inc.,Industrials,1372.0,16968477540.0,11249763000.0,8254681000.0,2995082000.0,242.17,-961122000.0,False,5.665,False,-749.8,False,2,"[-961122000.0, 570493000.0, 382947000.0]",True,True,False,False
1438.T,"Gifu landscape architect Co., Ltd.",Industrials,1872.0,6073166736.0,3861351000.0,1631853000.0,2229498000.0,687.22,317228000.0,True,2.724,False,-308.6,True,3,"[317228000.0, 715786000.0, 204654000.0]",True,False,False,False
1443.T,"Giken Holdings Co., Ltd.",Industrials,246.0,3993588108.0,4082888000.0,5248911000.0,-1166023000.0,-71.83,358360000.0,True,,False,,True,3,"[358360000.0, 932670000.0, 668541000.0]",True,False,True,False
1444.T,"Nissou Co.,Ltd.",Consumer Cyclical,2843.0,3092834311.0,2124963000.0,1266260000.0,858703000.0,789.34,-68172000.0,False,3.602,False,-440.3,False,2,"[-68172000.0, 67918000.0, 132629000.0]",False,True,False,False
1445.T,"Hikari Holdings Co.,Ltd.",,2900.0,1242940000.0,2640442000.0,3857841000.0,-1217399000.0,-2840.41,205053000.0,True,,False,,True,3,"[205053000.0, 45912000.0, 5525000.0]",False,False,False,True
1446.T,"CANDEAL Co.,Ltd",Industrials,521.0,4846654600.0,3937226000.0,3320208000.0,617018000.0,66.33,418644000.0,True,7.855,False,-1078.2,True,3,"[418644000.0, 377866000.0, 595460000.0]",True,False,False,False
1447.T,"SAAF Holdings Co.,Ltd.",Technology,284.0,6919282848.0,10803735000.0,14154678000.0,-3350943000.0,-137.54,305192000.0,True,,False,,True,3,"[305192000.0, 572269000.0, 369398000.0]",True,True,True,False
1450.T,TANAKEN Inc.,Industrials,1338.0,11638927500.0,9949416000.0,3160179000.0,6789237000.0,780.48,2141625000.0,True,1.714,False,-157.1,False,2,"[2141625000.0, 510813000.0, -222200000.0]",True,True,False,False
1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",,18530.0,925999690.0,770976000.0,366717000.0,404259000.0,8089.55,273087000.0,True,2.291,False,-243.6,True,3,"[273087000.0, 8600000.0, 273464000.0]",False,False,True,True
1491.T,"Chugai Mining Co., Ltd.",Basic Materials,667.0,9584573892.0,13126548000.0,8343687000.0,4782861000.0,332.84,840310000.0,True,2.004,False,-200.6,False,2,"[840310000.0, 491386000.0, -1121596000.0]",True,True,False,False
1514.T,"Sumiseki Holdings,Inc.",Energy,524.0,31347330076.0,21227000000.0,1023000000.0,20204000000.0,337.73,26000000.0,True,1.552,False,-132.7,True,3,"[26000000.0, 18778000000.0, 53000000.0]",True,False,True,False
1515.T,"Nittetsu Mining Co., Ltd.",Basic Materials,2566.0,201898071018.0,101970000000.0,88209000000.0,13761000000.0,174.89,17713000000.0,True,14.672,False,-2100.8,True,3,"[17713000000.0, 8951000000.0, 15818000000.0]",True,True,False,False
1518.T,"Mitsui Matsushima Holdings Co., Ltd.",Energy,1496.0,55393828160.0,74393000000.0,72123000000.0,2270000000.0,61.31,5753000000.0,True,24.403,False,-3560.4,True,3,"[5753000000.0, 4574000000.0, 21288000000.0]",True,True,True,False
1605.T,Inpex Corporation,Energy,3500.0,4067664534500.0,1109093000000.0,2712295000000.0,-1603202000000.0,-1379.47,654737000000.0,True,,False,,True,3,"[654737000000.0, 788130000000.0, 751284000000.0]",True,True,True,False
1662.T,"Japan Petroleum Exploration Co., Ltd.",Energy,1636.0,418815021672.0,155359000000.0,203576000000.0,-48217000000.0,-188.35,102976000000.0,True,,False,,True,3,"[102976000000.0, 130766000000.0, 90564000000.0]",True,False,False,False
1663.T,K&O Energy Group Inc.,Utilities,3890.0,103873549680.0,53083000000.0,18887000000.0,34196000000.0,1280.62,15911000000.0,True,3.038,False,-355.6,True,3,"[15911000000.0, 13842000000.0, 11832000000.0]",True,False,True,False
1711.T,"SDS HOLDINGS Co.,Ltd.",Utilities,222.0,2316051186.0,2596916000.0,3966883000.0,-1369967000.0,-131.32,-214276000.0,False,,False,,False,1,"[-214276000.0, 924633000.0, -717609000.0]",False,True,False,False
1716.T,Dai-Ichi Cutter Kogyo k.k.,Industrials,1392.0,15658060944.0,14403164000.0,2889484000.0,11513680000.0,1023.56,1699024000.0,True,1.36,False,-104.0,True,3,"[1699024000.0, 2173773000.0, 2740454000.0]",True,False,True,False
1717.T,Meiho Facility Works Ltd.,Industrials,900.0,10582790400.0,6324955000.0,2430460000.0,3894495000.0,331.2,-213002000.0,False,2.717,False,-307.6,False,2,"[-213002000.0, 738997000.0, 210402000.0]",True,False,False,False
1718.T,"Mikikogyo Co., Ltd.",Industrials,7050.0,7569366450.0,21078346000.0,19350337000.0,1728009000.0,1609.44,-2119305000.0,False,4.38,False,-557.1,False,1,"[-2119305000.0, 660041000.0, -2156060000.0]",True,True,False,False
1719.T,Hazama Ando Corporation,Industrials,1770.0,277683037440.0,287813000000.0,199792000000.0,88021000000.0,561.06,11176000000.0,True,3.155,False,-373.2,False,2,"[11176000000.0, -11115000000.0, 32272000000.0]",True,True,False,False
1720.T,"Tokyu Construction Co., Ltd.",Industrials,1191.0,126571380009.0,253716000000.0,198175000000.0,55541000000.0,522.62,6910000000.0,True,2.279,False,-241.8,False,2,"[6910000000.0, 41203000000.0, -54023000000.0]",True,False,False,False
1721.T,COMSYS Holdings Corporation,Industrials,5421.0,626314747110.0,327747000000.0,158748000000.0,168999000000.0,1462.75,16625000000.0,True,3.706,False,-455.9,True,3,"[16625000000.0, 44275000000.0, 61781000000.0]",True,True,False,False
1723.T,"Nihon Dengi Co., Ltd.",Technology,2341.0,149198512892.0,32681000000.0,13392000000.0,19289000000.0,302.65,8135000000.0,True,7.735,False,-1060.2,True,3,"[8135000000.0, 4272000000.0, 3518000000.0]",True,False,False,False
1724.T,Synclayer Inc.,Technology,698.0,3121332454.0,6063000000.0,3612000000.0,2451000000.0,548.1,1538000000.0,True,1.273,False,-91.0,False,2,"[1538000000.0, -1320000000.0, 2162000000.0]",True,True,False,False
1726.T,Br.Holdings Corp,Industrials,526.0,23876506548.0,34627000000.0,26868000000.0,7759000000.0,170.93,48000000.0,True,3.077,False,-361.6,False,2,"[48000000.0, 233000000.0, -5703000000.0]",True,True,False,False
1736.T,Otec Corporation,Industrials,2424.0,37558309248.0,21555712000.0,11768793000.0,9786919000.0,631.64,3542153000.0,True,3.838,False,-475.6,True,3,"[3542153000.0, 2779570000.0, 779632000.0]",True,True,False,False
1758.T,"Taiyo Kisokogyo Co.,Ltd.",Industrials,2490.0,4970044980.0,8073551000.0,2946925000.0,5126626000.0,2568.45,898168000.0,True,0.969,False,-45.4,True,3,"[898168000.0, 371370000.0, 858751000.0]",True,False,True,False
1762.T,"Takamatsu Construction Group Co., Ltd.",Industrials,3485.0,121342357495.0,246602000000.0,167809000000.0,78793000000.0,2262.97,-16889000000.0,False,1.54,False,-131.0,False,1,"[-16889000000.0, 5132000000.0, -10476000000.0]",True,False,False,False
1764.T,Kudo Corporation,Industrials,2900.0,3614223600.0,7360307000.0,10671251000.0,-3310944000.0,-2656.65,3065723000.0,True,,False,,False,2,"[3065723000.0, 294003000.0, -1099175000.0]",True,True,False,False
1766.T,Token Corporation,Real Estate,12420.0,137874171600.0,150464000000.0,94912000000.0,55552000000.0,5004.24,22714000000.0,True,2.482,False,-272.3,True,3,"[22714000000.0, 18185000000.0, 8950000000.0]",True,False,False,False
1768.T,Sonec Corporation,Industrials,1005.0,7341894840.0,10295010000.0,3837927000.0,6457083000.0,883.88,-654009000.0,False,1.137,False,-70.6,False,1,"[-654009000.0, -2666624000.0, 2136086000.0]",True,False,True,False
1770.T,"Fujita Engineering Co., Ltd.",Industrials,1886.0,17321110756.0,20575867000.0,11309581000.0,9266286000.0,1008.95,1128664000.0,True,1.869,False,-180.4,True,3,"[1128664000.0, 1976102000.0, 1321478000.0]",True,False,False,False
1773.T,YTL Corporation Berhad,Utilities,83.0,964839318383.0,29116968000.0,71304153000.0,-42187185000.0,-3.63,6212579000.0,True,,False,,True,3,"[6212579000.0, 6372925000.0, 4670947000.0]",True,True,False,False
1776.T,"Sumiken Mitsui Road Co.,Ltd.",Industrials,1996.0,18372874612.0,17414000000.0,10996000000.0,6418000000.0,697.24,-3146000000.0,False,2.863,False,-329.4,False,2,"[-3146000000.0, 1817000000.0, 2141000000.0]",True,False,True,False
1780.T,Yamaura Corporation,Industrials,1396.0,26841146072.0,24481777000.0,7566640000.0,16915137000.0,879.75,79698000.0,True,1.587,False,-138.0,True,3,"[79698000.0, 4885153000.0, 6229943000.0]",True,True,False,False
1783.T,"Fantasista Co., Ltd.",Real Estate,53.0,10245354104.0,7511524000.0,2860317000.0,4651207000.0,24.06,2462605000.0,True,2.203,False,-230.4,False,2,"[2462605000.0, -3976454000.0, 1732794000.0]",False,False,True,True
1786.T,Oriental Shiraishi Corporation,Industrials,334.0,42963198554.0,55812000000.0,26306000000.0,29506000000.0,229.38,7803000000.0,True,1.456,False,-118.4,True,3,"[7803000000.0, 5273000000.0, 4081000000.0]",True,True,False,False
1787.T,"Nakabohtec Corrosion Protecting Co.,Ltd.",Industrials,5290.0,12971148770.0,10365854000.0,3415589000.0,6950265000.0,2834.51,692496000.0,True,1.866,False,-179.9,True,3,"[692496000.0, 1227677000.0, 822736000.0]",True,True,False,False
1788.T,Santo Corporation,Industrials,4530.0,2839639560.0,3311676000.0,1306993000.0,2004683000.0,3198.02,-499383000.0,False,1.417,False,-112.5,False,1,"[-499383000.0, -296410000.0, 1034250000.0]",True,True,False,False
1793.T,"Ohmoto Gumi Co., Ltd.",Industrials,1903.0,48401065658.0,67344000000.0,25276000000.0,42068000000.0,1654.0,-355000000.0,False,1.151,False,-72.6,False,1,"[-355000000.0, 12279000000.0, -21136000000.0]",True,True,True,False
1795.T,Masaru Corporation,Industrials,4845.0,4252417740.0,6554839000.0,3529257000.0,3025582000.0,3447.2,1238782000.0,True,1.405,False,-110.8,True,3,"[1238782000.0, 421994000.0, 230277000.0]",True,False,False,False
1798.T,Moriya Corporation,Industrials,1019.0,11111889300.0,26528817000.0,18203167000.0,8325650000.0,763.49,3075769000.0,True,1.335,False,-100.2,False,2,"[3075769000.0, -1932187000.0, 3265016000.0]",True,True,False,False
1799.T,Daiichi Kensetsu Corporation,Industrials,3360.0,59476794720.0,48897021000.0,12284393000.0,36612628000.0,2068.34,5981560000.0,True,1.624,False,-143.7,False,2,"[5981560000.0, 5372372000.0, -400287000.0]",True,True,False,False
1801.T,Taisei Corporation,Industrials,14785.0,2410089824415.0,1637711000000.0,1724620000000.0,-86909000000.0,-533.15,147287000000.0,True,,False,,False,2,"[147287000000.0, -13841000000.0, 40611000000.0]",True,True,False,False
1802.T,Obayashi Corporation,Industrials,3280.0,2254742565920.0,1809460000000.0,1832578000000.0,-23118000000.0,-33.63,85625000000.0,True,,False,,True,3,"[85625000000.0, 50399000000.0, 228456000000.0]",True,True,False,False
1803.T,Shimizu Corporation,Industrials,2555.0,1735359262735.0,1517057000000.0,1599963000000.0,-82906000000.0,-122.06,159094000000.0,True,,False,,False,2,"[159094000000.0, -21253000000.0, 83842000000.0]",True,True,False,False
1807.T,"Watanabe Sato Co., Ltd.",Industrials,1840.0,11488880880.0,21049823000.0,14005560000.0,7044263000.0,1128.17,-3964389000.0,False,1.631,False,-144.6,False,2,"[-3964389000.0, 3483524000.0, 187682000.0]",True,True,False,False
1808.T,HASEKO Corporation,Consumer Cyclical,2730.0,722479261140.0,1053200000000.0,833170000000.0,220030000000.0,831.42,3916000000.0,True,3.284,False,-392.5,False,2,"[3916000000.0, 115023000000.0, -51909000000.0]",True,True,False,False
1810.T,"Matsui Construction Co., Ltd.",Industrials,1350.0,38503162350.0,44767000000.0,30271000000.0,14496000000.0,508.26,7623000000.0,True,2.656,False,-298.4,False,2,"[7623000000.0, -16190000000.0, 7180000000.0]",True,False,False,False
1811.T,The Zenitaka Corporation,Industrials,8060.0,57721915680.0,112486000000.0,109896000000.0,2590000000.0,361.65,-7727000000.0,False,22.286,False,-3243.0,False,0,"[-7727000000.0, -22389000000.0, -2912000000.0]",True,False,False,False
1812.T,Kajima Corporation,Industrials,5961.0,2772027258420.0,2137129000000.0,2176604000000.0,-39475000000.0,-84.89,30632000000.0,True,,False,,False,2,"[30632000000.0, 123734000000.0, -29116000000.0]",True,True,False,False
1813.T,Fudo Tetra Corporation,Industrials,2683.0,40645716782.0,51678000000.0,32627000000.0,19051000000.0,1257.55,-2302000000.0,False,2.134,False,-220.0,False,2,"[-2302000000.0, 621000000.0, 7065000000.0]",True,True,False,False
1814.T,"Daisue Construction Co., Ltd.",Real Estate,3255.0,33511159185.0,48264000000.0,32602000000.0,15662000000.0,1521.28,-3059000000.0,False,2.14,False,-220.9,False,1,"[-3059000000.0, -1919000000.0, 4192000000.0]",True,True,False,False
1815.T,Tekken Corporation,Industrials,4550.0,63385717850.0,145960000000.0,154988000000.0,-9028000000.0,-648.05,-20285000000.0,False,,False,,False,1,"[-20285000000.0, 3973000000.0, -219000000.0]",True,False,False,False
1820.T,"Nishimatsu Construction Co., Ltd.",Industrials,5383.0,212544686690.0,390966000000.0,481594000000.0,-90628000000.0,-2295.28,3045000000.0,True,,False,,True,3,"[3045000000.0, 5889000000.0, 32037000000.0]",True,False,True,False
1822.T,Daiho Corporation,Industrials,740.0,62368110200.0,120066000000.0,76779000000.0,43287000000.0,513.6,11776000000.0,True,1.441,False,-116.1,False,2,"[11776000000.0, -11536000000.0, 12856000000.0]",True,True,True,False
1826.T,"Sata Construction Co., Ltd.",Industrials,1005.0,12106232010.0,22255000000.0,11968000000.0,10287000000.0,853.98,900000000.0,True,1.177,False,-76.5,True,3,"[900000000.0, 2007000000.0, 2907000000.0]",True,False,False,False
1827.T,Nakano Corporation,Industrials,1220.0,41924012900.0,54430000000.0,36211000000.0,18219000000.0,530.18,-4375000000.0,False,2.301,False,-245.2,False,1,"[-4375000000.0, -2086000000.0, 2170000000.0]",True,False,True,False
1828.T,Tanabe Engineering Corporation,Industrials,2312.0,24272416400.0,35010887000.0,20988127000.0,14022760000.0,1335.7,12925730000.0,True,1.731,False,-159.6,False,2,"[12925730000.0, -4740550000.0, 1829632000.0]",True,True,False,False
